,sokak,yil,rayic
0,"1956 ADA, 44 PARSEL",2020,13445.41
1,23 TEMMUZ,2020,9411.78
2,2. KESKİN KALEM,2020,5228.77
3,ALİ KAYA,2020,41904.87
4,ALİ KAYA,2020,23902.96
5,ATOM,2020,5228.77
6,AVNİ DİLLİGİL,2020,7320.28
7,BAHAR,2020,3734.84
8,BARBAROS BULVARI,2020,41904.87
9,BÜYÜKDERE,2020,31372.63
10,BÜYÜKDERE,2020,44818.04
11,BÜYÜKDERE,2020,41904.87
12,BÜYÜKDERE,2020,34360.5
13,BÜYÜKDERE,2020,38095.33
14,BÜYÜKDERE,2020,48254.09
15,CEMİL CAHİT TOYDEMİR,2020,8366.04
16,DEDE KORKUT,2020,3734.84
17,DEREBOYU,2020,5228.77
18,DERGİLER,2020,9411.78
19,ECZA,2020,11204.51
20,FAZIL BİLGE,2020,8366.04
21,FEZA,2020,3734.84
22,GÖNÜL 1,2020,4183.01
23,HABERLER,2020,9411.78
24,HARMAN 1,2020,41904.87
25,HARMAN 1,2020,31746.12
26,HİKAYE,2020,9411.78
27,İRFAN BAŞTUĞ PAŞA,2020,6349.23
28,İSMET İNÖNÜ,2020,31746.12
29,İZZETTİN ÇALIŞLAR,2020,6349.23
30,KARDEŞLER,2020,3734.84
31,KASAP,2020,22409.02
32,KELEBEK ÇIKMAZI,2020,9411.78
33,KESKİN KALEM,2020,9411.78
34,KIR GÜLÜ,2020,3734.84
35,KORE ŞEHİTLERİ,2020,9411.78
36,KORE ŞEHİTLERİ,2020,29878.69
37,KÖPRÜLÜ,2020,3734.84
38,MAHMUT MUHTAR,2020,8366.04
39,MATBUAT,2020,9411.78
40,MEHMET ALİ ÜLGEN,2020,8366.04
41,MİTHAT ULU ÜNLÜ,2020,9411.78
42,MUZAFFER GÖKSENİN,2020,8366.04
43,MUZAFFER TUĞSAVUL,2020,8366.04
44,MÜSELLES,2020,38095.33
45,MÜSELLES,2020,22409.02
46,MÜŞİR ABDULLAH,2020,8366.04
47,MÜŞİR DERVİŞ İBRAHİM,2020,8366.04
48,MÜŞİR İSMAİL HAKKI,2020,8366.04
49,OTO,2020,41904.87
50,OTO,2020,34360.5
51,OTO,2020,9959.56
52,OYA,2020,22409.02
53,RESSAMLAR,2020,5228.77
54,RIDVAN KORAL,2020,8366.04
55,SAĞLAM FİKİR,2020,9411.78
56,SAĞLAM FİKİR ARALIĞI,2020,9411.78
57,SALİH TOZAN,2020,7320.28
58,SALİH TOZAN,2020,13445.41
59,ŞAİRLER,2020,2987.87
60,ŞEHİT ÜSTEĞMEN MEHMET GÖNENÇ,2020,7469.67
61,ŞENLİK,2020,2987.87
62,TALAT PAŞA,2020,31746.12
63,TEVFİK ERDÖNMEZ PAŞA,2020,8366.04
64,VİLLA,2020,14565.87
65,YAZARLAR,2020,9411.78
66,YAZARLAR,2020,31372.63
67,YILDIZ POSTA,2020,19047.67
68,YUVAM,2020,8366.04
69,YÜZBAŞI KAYA ALDOĞAN,2020,9411.78
70,ZİNCİRLİDERE,2020,5228.77
71,"1956 ADA, 44 PARSEL",2019,12081.42
72,23 TEMMUZ,2019,8456.99
73,2. KESKİN KALEM,2019,4698.33
74,ALİ KAYA,2019,21478.08
75,ALİ KAYA,2019,37653.76
76,ATOM,2019,4698.33
77,AVNİ DİLLİGİL,2019,6577.66
78,BAHAR,2019,3355.95
79,BARBAROS BULVARI,2019,37653.76
80,BÜYÜKDERE,2019,28189.98
81,BÜYÜKDERE,2019,34230.69
82,BÜYÜKDERE,2019,30874.74
83,BÜYÜKDERE,2019,40271.4
84,BÜYÜKDERE,2019,43358.87
85,BÜYÜKDERE,2019,37653.76
86,CEMİL CAHİT TOYDEMİR,2019,7517.33
87,DEDE KORKUT,2019,3355.95
88,DEREBOYU,2019,4698.33
89,DERGİLER,2019,8456.99
90,ECZA,2019,10067.85
91,FAZIL BİLGE,2019,7517.33
92,FEZA,2019,3355.95
93,GÖNÜL 1,2019,3758.66
94,HABERLER,2019,8456.99
95,HARMAN 1,2019,37653.76
96,HARMAN 1,2019,28525.58
97,HİKAYE,2019,8456.99
98,İRFAN BAŞTUĞ PAŞA,2019,5705.12
99,İSMET İNÖNÜ,2019,28525.58
100,İZZETTİN ÇALIŞLAR,2019,5705.12
101,KARDEŞLER,2019,3355.95
102,KASAP,2019,20135.7
103,KELEBEK ÇIKMAZI,2019,8456.99
104,KESKİN KALEM,2019,8456.99
105,KIR GÜLÜ,2019,3355.95
106,KORE ŞEHİTLERİ,2019,8456.99
107,KORE ŞEHİTLERİ,2019,26847.6
108,KÖPRÜLÜ,2019,3355.95
109,MAHMUT MUHTAR,2019,7517.33
110,MATBUAT,2019,8456.99
111,MEHMET ALİ ÜLGEN,2019,7517.33
112,MİTHAT ULU ÜNLÜ,2019,8456.99
113,MUZAFFER GÖKSENİN,2019,7517.33
114,MUZAFFER TUĞSAVUL,2019,7517.33
115,MÜSELLES,2019,20135.7
116,MÜSELLES,2019,34230.69
117,MÜŞİR ABDULLAH,2019,7517.33
118,MÜŞİR DERVİŞ İBRAHİM,2019,7517.33
119,MÜŞİR İSMAİL HAKKI,2019,7517.33
120,OTO,2019,30874.74
121,OTO,2019,8949.2
122,OTO,2019,37653.76
123,OYA,2019,20135.7
124,RESSAMLAR,2019,4698.33
125,RIDVAN KORAL,2019,7517.33
126,SAĞLAM FİKİR,2019,8456.99
127,SAĞLAM FİKİR ARALIĞI,2019,8456.99
128,SALİH TOZAN,2019,12081.42
129,SALİH TOZAN,2019,6577.66
130,ŞAİRLER,2019,2684.76
131,ŞEHİT ÜSTEĞMEN MEHMET GÖNENÇ,2019,6711.9
132,ŞENLİK,2019,2684.76
133,TALAT PAŞA,2019,28525.58
134,TEVFİK ERDÖNMEZ PAŞA,2019,7517.33
135,VİLLA,2019,13088.21
136,YAZARLAR,2019,8456.99
137,YAZARLAR,2019,28189.98
138,YILDIZ POSTA,2019,17115.35
139,YUVAM,2019,7517.33
140,YÜZBAŞI KAYA ALDOĞAN,2019,8456.99
141,ZİNCİRLİDERE,2019,4698.33
142,"1956 ADA, 44 PARSEL",2018,10800
143,23 TEMMUZ,2018,7560
144,2. KESKİN KALEM,2018,4200
145,ALİ KAYA,2018,19200
146,ALİ KAYA,2018,33660
147,ATOM,2018,4200
148,AVNİ DİLLİGİL,2018,5880
149,BAHAR,2018,3000
150,BARBAROS BULVARI,2018,33660
151,BÜYÜKDERE,2018,25200
152,BÜYÜKDERE,2018,36000
153,BÜYÜKDERE,2018,38760
154,BÜYÜKDERE,2018,33660
155,BÜYÜKDERE,2018,27600
156,BÜYÜKDERE,2018,30600
157,CEMİL CAHİT TOYDEMİR,2018,6720
158,DEDE KORKUT,2018,3000
159,DEREBOYU,2018,4200
160,DERGİLER,2018,7560
161,ECZA,2018,9000
162,FAZIL BİLGE,2018,6720
163,FEZA,2018,3000
164,GÖNÜL 1,2018,3360
165,HABERLER,2018,7560
166,HARMAN 1,2018,25500
167,HARMAN 1,2018,33660
168,HİKAYE,2018,7560
169,İRFAN BAŞTUĞ PAŞA,2018,5100
170,İSMET İNÖNÜ,2018,25500
171,İZZETTİN ÇALIŞLAR,2018,5100
172,KARDEŞLER,2018,3000
173,KASAP,2018,18000
174,KELEBEK ÇIKMAZI,2018,7560
175,KESKİN KALEM,2018,7560
176,KIR GÜLÜ,2018,3000
177,KORE ŞEHİTLERİ,2018,24000
178,KORE ŞEHİTLERİ,2018,7560
179,KÖPRÜLÜ,2018,3000
180,MAHMUT MUHTAR,2018,6720
181,MATBUAT,2018,7560
182,MEHMET ALİ ÜLGEN,2018,6720
183,MİTHAT ULU ÜNLÜ,2018,7560
184,MUZAFFER GÖKSENİN,2018,6720
185,MUZAFFER TUĞSAVUL,2018,6720
186,MÜSELLES,2018,18000
187,MÜSELLES,2018,30600
188,MÜŞİR ABDULLAH,2018,6720
189,MÜŞİR DERVİŞ İBRAHİM,2018,6720
190,MÜŞİR İSMAİL HAKKI,2018,6720
191,OTO,2018,8000
192,OTO,2018,27600
193,OTO,2018,33660
194,OYA,2018,18000
195,RESSAMLAR,2018,4200
196,RIDVAN KORAL,2018,6720
197,SAĞLAM FİKİR ARALIĞI,2018,7560
198,SAĞLAM FİKİR,2018,7560
199,SALİH TOZAN,2018,5880
200,SALİH TOZAN,2018,10800
201,ŞAİRLER,2018,2400
202,ŞEHİT ÜSTEĞMEN MEHMET GÖNENÇ,2018,6000
203,ŞENLİK,2018,2400
204,TALAT PAŞA,2018,25500
205,TEVFİK ERDÖNMEZ PAŞA,2018,6720
206,VİLLA,2018,11700
207,YAZARLAR,2018,7560
208,YAZARLAR,2018,25200
209,YILDIZ POSTA,2018,15300
210,YUVAM,2018,6720
211,YÜZBAŞI KAYA ALDOĞAN,2018,7560
212,ZİNCİRLİDERE,2018,4200
213,"1956 ADA, 44 PARSEL",2017,10090.97
214,23 TEMMUZ,2017,7063.69
215,2. KESKİN KALEM,2017,3924.28
216,ALİ KAYA,2017,31450.2
217,ALİ KAYA,2017,17939.51
218,ATOM,2017,3924.28
219,AVNİ DİLLİGİL,2017,5493.98
220,BAHAR,2017,2803.06
221,BARBAROS BULVARI,2017,31450.2
222,BÜYÜKDERE,2017,33636.57
223,BÜYÜKDERE,2017,31450.2
224,BÜYÜKDERE,2017,28591.09
225,BÜYÜKDERE,2017,36215.37
226,BÜYÜKDERE,2017,23545.6
227,BÜYÜKDERE,2017,25788.04
228,CEMİL CAHİT TOYDEMİR,2017,6278.83
229,DEDE KORKUT,2017,2803.06
230,DEREBOYU,2017,3924.28
231,DERGİLER,2017,7063.69
232,ECZA,2017,4484.87
233,FAZIL BİLGE,2017,6278.83
234,FEZA,2017,2803.06
235,GÖNÜL 1,2017,3139.41
236,HABERLER,2017,7063.69
237,HARMAN 1,2017,31450.2
238,HARMAN 1,2017,23825.9
239,HİKAYE,2017,7063.69
240,İRFAN BAŞTUĞ PAŞA,2017,5045.49
241,İSMET İNÖNÜ,2017,23825.9
242,İZZETTİN ÇALIŞLAR,2017,4765.18
243,KARDEŞLER,2017,2803.06
244,KASAP,2017,16818.29
245,KELEBEK ÇIKMAZI,2017,7063.69
246,KESKİN KALEM,2017,7063.69
247,KIR GÜLÜ,2017,2803.06
248,KIR GÜLÜ,2017,23545.6
249,KORE ŞEHİTLERİ,2017,22424.38
250,KORE ŞEHİTLERİ,2017,7063.69
251,KÖPRÜLÜ,2017,2803.06
252,MAHMUT MUHTAR,2017,6278.83
253,MATBUAT,2017,7063.69
254,MEHMET ALİ ÜLGEN,2017,6278.83
255,MİTHAT ULU ÜNLÜ,2017,7063.69
256,MUZAFFER GÖKSENİN,2017,6278.83
257,MUZAFFER TUĞSAVUL,2017,6278.83
258,MÜSELLES,2017,16818.29
259,MÜSELLES,2017,28591.09
260,MÜŞİR ABDULLAH,2017,6278.83
261,MÜŞİR DERVİŞ İBRAHİM,2017,6278.83
262,MÜŞİR İSMAİL HAKKI,2017,6278.83
263,OTO,2017,25788.04
264,OTO,2017,5493.98
265,OYA,2017,16818.29
266,RESSAMLAR,2017,3924.28
267,RIDVAN KORAL,2017,6278.83
268,SAĞLAM FİKİR,2017,7063.69
269,SAĞLAM FİKİR ARALIĞI,2017,7063.69
270,SALİH TOZAN,2017,10090.97
271,SALİH TOZAN,2017,5493.98
272,ŞAİRLER,2017,2242.44
273,ŞEHİT ÜSTEĞMEN MEHMET GÖNENÇ,2017,5606.09
274,ŞENLİK,2017,2242.44
275,TALAT PAŞA,2017,23825.9
276,TEVFİK ERDÖNMEZ PAŞA,2017,6278.83
277,VİLLA,2017,10931.89
278,YAZARLAR,2017,23545.6
279,YAZARLAR,2017,7063.69
280,YILDIZ POSTA,2017,14295.54
281,YUVAM,2017,6278.83
282,YÜZBAŞI KAYA ALDOĞAN,2017,7063.69
283,ZİNCİRLİDERE,2017,3924.28
284,"1956 ADA, 44 PARSEL",2016,9718.74
285,23 TEMMUZ,2016,6803.13
286,2. KESKİN KALEM,2016,3779.52
287,ALİ KAYA,2016,17277.77
288,ALİ KAYA,2016,30290.09
289,ATOM,2016,3779.52
290,AVNİ DİLLİGİL,2016,5291.32
291,BAHAR,2016,2699.66
292,BARBAROS BULVARI,2016,30290.09
293,BÜYÜKDERE,2016,32395.81
294,BÜYÜKDERE,2016,22677.07
295,BÜYÜKDERE,2016,34879.49
296,BÜYÜKDERE,2016,30290.09
297,BÜYÜKDERE,2016,24836.79
298,BÜYÜKDERE,2016,27536.44
299,CEMİL CAHİT TOYDEMİR,2016,6047.22
300,DEDE KORKUT,2016,2699.66
301,DEREBOYU,2016,3779.52
302,DERGİLER,2016,6803.13
303,ECZA,2016,4319.44
304,FAZIL BİLGE,2016,6047.22
305,FEZA,2016,2699.66
306,GÖNÜL 1,2016,3023.61
307,HABERLER,2016,6803.13
308,HARMAN 1,2016,30290.09
309,HARMAN 1,2016,22947.03
310,HİKAYE,2016,6803.13
311,İRFAN BAŞTUĞ PAŞA,2016,4859.38
312,İSMET İNÖNÜ,2016,22947.03
313,İZZETTİN ÇALIŞLAR,2016,4589.41
314,KARDEŞLER,2016,2699.66
315,KASAP,2016,16197.91
316,KELEBEK ÇIKMAZI,2016,6803.13
317,KESKİN KALEM,2016,6803.13
