,sokak,yil,rayic
0,AKAĞALAR,2020,10457.54
1,AKTAŞ,2020,3734.84
2,ALDAMGA,2020,2240.9
3,AVŞAR,2020,2240.9
4,AZAK,2020,2987.87
5,BAYSUNGUR,2020,3734.84
6,BEKÇİ MAHMUT,2020,2240.9
7,BİLEZİKÇİ,2020,3734.84
8,DEĞİRMEN,2020,3734.84
9,DEMET,2020,2240.9
10,DERİCİLER,2020,2987.87
11,DİREKÇİBAŞI,2020,2240.9
12,DOLAPDERE,2020,15686.31
13,EŞREF EFENDİ,2020,3734.84
14,FENERCİ KADRİ,2020,2240.9
15,FEYLOSOF,2020,2240.9
16,GAZİNO,2020,1493.93
17,IRMAK,2020,15686.31
18,KARABATAK,2020,2240.9
19,KASAP HURŞİT,2020,2240.9
20,KAYTANCI RASİM,2020,2987.87
21,KAZASKADIN,2020,2987.87
22,KINALI KEKLİK,2020,2240.9
23,KURTULUŞ MASLAĞI,2020,2240.9
24,KURTULUŞ,2020,10457.54
25,KÜÇÜK AKARCA,2020,2987.87
26,KÜKÜRTLÜ,2020,2987.87
27,LALEZAR,2020,2987.87
28,MANDIRA MEYDANI,2020,3734.84
29,MARSIK,2020,4481.8
30,MEKKARECİ,2020,4929.98
31,MİRİMİRAN,2020,2240.9
32,PERVAZ,2020,2987.87
33,PEŞKİR AĞASI,2020,2987.87
34,SAKSAĞAN,2020,2987.87
35,SARRAF MÜMİN,2020,2987.87
36,ŞAHİN,2020,6162.48
37,TUZCU MURAT,2020,2987.87
38,YİĞİTBAŞI,2020,4481.8
39,AKAĞALAR,2019,9396.66
40,AKTAŞ,2019,3355.95
41,ALDAMGA,2019,2013.57
42,AVŞAR,2019,2013.57
43,AZAK,2019,2684.76
44,BAYSUNGUR,2019,3355.95
45,BEKÇİ MAHMUT,2019,2013.57
46,BİLEZİKÇİ,2019,3355.95
47,DEĞİRMEN,2019,3355.95
48,DEMET,2019,2013.57
49,DERİCİLER,2019,2684.76
50,DİREKÇİBAŞI,2019,2013.57
51,DOLAPDERE,2019,14094.99
52,EŞREF EFENDİ,2019,3355.95
53,FENERCİ KADRİ,2019,2013.57
54,FEYLOSOF,2019,2013.57
55,GAZİNO,2019,1342.38
56,IRMAK,2019,14094.99
57,KARABATAK,2019,2013.57
58,KASAP HURŞİT,2019,2013.57
59,KAYTANCI RASİM,2019,2684.76
60,KAZASKADIN,2019,2684.76
61,KINALI KEKLİK,2019,2013.57
62,KURTULUŞ,2019,9396.66
63,KURTULUŞ MASLAĞI,2019,2013.57
64,KÜÇÜK AKARCA,2019,2684.76
65,KÜKÜRTLÜ,2019,2684.76
66,LALEZAR,2019,2684.76
67,MANDIRA MEYDANI,2019,3355.95
68,MARSIK,2019,4027.14
69,MEKKARECİ,2019,4429.85
70,MİRİMİRAN,2019,2013.57
71,PERVAZ,2019,2684.76
72,PEŞKİR AĞASI,2019,2684.76
73,SAKSAĞAN,2019,2684.76
74,SARRAF MÜMİN,2019,2684.76
75,ŞAHİN,2019,5537.32
76,TUZCU MURAT,2019,2684.76
77,YİĞİTBAŞI,2019,4027.14
