,sokak,yil,rayic
0,AÇIK PAZAR,2020,6573.31
1,AÇIKYOL,2020,6573.31
2,ATEŞ BÖCEĞİ,2020,4929.98
3,AZAK,2020,6573.31
4,BARUTHANE,2020,6573.31
5,BAYIR,2020,5751.65
6,BEYZADE,2020,4929.98
7,BOZKURT,2020,6573.31
8,CEVİZ,2020,3734.84
9,CİVAN,2020,6573.31
10,ÇOBANOĞLU,2020,5751.65
11,DUYGU ÇIKMAZI,2020,2240.9
12,ERMEYDANI,2020,4929.98
13,EVRENOSZADE,2020,4929.98
14,GEDİZ,2020,4929.98
15,HİLAL,2020,3734.84
16,KOCABAŞ,2020,5751.65
17,KURTULUŞ,2020,10457.54
18,KUYULARBAŞI,2020,6573.31
19,KUYULUBAĞ,2020,5751.65
20,LALA ŞAHİN,2020,4929.98
21,OKÇULAR,2020,4929.98
22,OZAN,2020,2240.9
23,PINAR,2020,2240.9
24,SAFA MEYDANI,2020,5751.65
25,SAVAŞ,2020,5751.65
26,SEVGİ,2020,2240.9
27,SEYMEN,2020,6162.48
28,ŞAHİN,2020,6162.48
29,ŞEHİT ERDEM CANBAŞ,2020,6573.31
30,ŞEREF MERİÇ,2020,6573.31
31,YENİ ALEM,2020,4929.98
32,ZARAFET,2020,3734.84
33,AÇIK PAZAR,2019,5906.47
34,AÇIKYOL,2019,5906.47
35,ATEŞ BÖCEĞİ,2019,4429.85
36,AZAK,2019,5906.47
37,BARUTHANE,2019,5906.47
38,BAYIR,2019,5168.16
39,BEYZADE,2019,4429.85
40,BOZKURT,2019,5906.47
41,CEVİZ,2019,3355.95
42,CİVAN,2019,5906.47
43,ÇOBANOĞLU,2019,5168.16
44,DUYGU ÇIKMAZI,2019,2013.57
45,ERMEYDANI,2019,4429.85
46,EVRENOSZADE,2019,4429.85
47,GEDİZ,2019,4429.85
48,HİLAL,2019,3355.95
49,KOCABAŞ,2019,5168.16
50,KURTULUŞ,2019,9396.66
51,KUYULARBAŞI,2019,5906.47
52,KUYULUBAĞ,2019,5168.16
53,LALA ŞAHİN,2019,4429.85
54,OKÇULAR,2019,4429.85
55,OZAN,2019,2013.57
56,PINAR,2019,2013.57
57,SAFA MEYDANI,2019,5168.16
58,SAVAŞ,2019,5168.16
59,SEVGİ,2019,2013.57
60,SEYMEN,2019,5537.32
61,ŞAHİN,2019,5537.32
62,ŞEHİT ERDEM CANBAŞ,2019,5906.47
63,ŞEREF MERİÇ,2019,5906.47
64,YENİ ALEM,2019,4429.85
65,ZARAFET,2019,3355.95
66,AÇIK PAZAR,2018,5280
67,AÇIKYOL,2018,5280
68,ATEŞ BÖCEĞİ,2018,3960
69,AZAK,2018,5280
70,BARUTHANE,2018,5280
71,BAYIR,2018,4620
72,BEYZADE,2018,3960
73,BOZKURT,2018,5280
74,CEVİZ,2018,3000
75,CİVAN,2018,5280
76,ÇOBANOĞLU,2018,4620
77,DUYGU ÇIKMAZI,2018,1800
78,ERMEYDANI,2018,3960
79,EVRENOSZADE,2018,3960
80,GEDİZ,2018,3960
81,HİLAL,2018,3000
82,KOCABAŞ,2018,4620
83,KURTULUŞ,2018,8400
84,KUYULARBAŞI,2018,5280
85,KUYULUBAĞ,2018,4620
86,LALA ŞAHİN,2018,3960
87,OKÇULAR,2018,3960
88,OZAN,2018,1800
89,PINAR,2018,1800
90,SAFA MEYDANI,2018,4620
91,SAVAŞ,2018,4620
92,SEVGİ,2018,1800
93,SEYMEN,2018,4950
