,sokak,yil,rayic
0,BAHTİYAR,2020,8739.51
1,DERSANE,2020,8739.51
2,HALASKARGAZİ,2020,31372.63
3,ITIR,2020,11503.3
4,KUYUMCU İRFAN,2020,8739.51
5,MATBAACI OSMANBEY,2020,11503.3
6,RUMELİ,2020,26890.82
7,SÜLEYMAN NAZİF,2020,31372.63
8,SÜLEYMAN NAZİF,2020,11503.3
9,ŞAFAK,2020,11503.3
10,VALİ KONAĞI,2020,31372.63
11,ZAFER,2020,11503.3
12,BAHTİYAR,2019,7852.92
13,DERSANE,2019,7852.92
14,HALASKARGAZİ,2019,28189.98
15,ITIR,2019,10336.33
16,KUYUMCU İRFAN,2019,7852.92
17,MATBAACI OSMANBEY,2019,10336.33
18,RUMELİ,2019,24162.84
19,SÜLEYMAN NAZİF,2019,28189.98
20,SÜLEYMAN NAZİF,2019,10336.33
21,ŞAFAK,2019,10336.33
22,VALİ KONAĞI,2019,28189.98
23,ZAFER,2019,10336.33
24,BAHTİYAR,2018,7020
25,DERSANE,2018,7020
26,HALASKARGAZİ,2018,25200
27,ITIR,2018,9240
28,KUYUMCU İRFAN,2018,7020
29,MATBAACI OSMANBEY,2018,9240
30,RUMELİ,2018,21600
31,SÜLEYMAN NAZİF,2018,25200
32,SÜLEYMAN NAZİF,2018,9240
33,ŞAFAK,2018,9240
34,VALİ KONAĞI,2018,25200
35,ZAFER,2018,9240
36,BAHTİYAR,2017,6559.14
37,DERSANE,2017,6559.14
38,HALASKARGAZİ,2017,23545.6
39,ITIR,2017,8633.39
40,KUYUMCU İRFAN,2017,6559.14
41,MATBAACI OSMANBEY,2017,8633.39
42,RUMELİ,2017,20181.95
43,SÜLEYMAN NAZİF,2017,23545.6
44,SÜLEYMAN NAZİF,2017,8633.39
45,ŞAFAK,2017,8633.39
46,VALİ KONAĞI,2017,23545.6
47,ZAFER,2017,8633.39
48,BAHTİYAR,2016,6317.19
49,DERSANE,2016,6317.19
50,HALASKARGAZİ,2016,22677.07
51,ITIR,2016,8314.93
52,KUYUMCU İRFAN,2016,6317.19
53,MATBAACI OSMANBEY,2016,8314.93
54,RUMELİ,2016,19437.49
55,SÜLEYMAN NAZİF,2016,8314.93
56,SÜLEYMAN NAZİF,2016,22677.07
57,ŞAFAK,2016,8314.93
58,VALİ KONAĞI,2016,22677.07
59,ZAFER,2016,8314.93
60,BAHTİYAR,2015,6145.72
61,DERSANE,2015,6145.72
62,HALASKARGAZİ,2015,22061.55
63,ITIR,2015,8089.24
64,KUYUMCU İRFAN,2015,6145.72
65,MATBAACI OSMANBEY,2015,8089.24
66,RUMELİ,2015,18909.9
67,SÜLEYMAN NAZİF,2015,8089.24
68,SÜLEYMAN NAZİF,2015,22061.55
69,ŞAFAK,2015,8089.24
70,VALİ KONAĞI,2015,22061.55
71,ZAFER,2015,8089.24
72,BAHTİYAR,2014,5850
73,DERSANE,2014,5850
