,sokak,yil,rayic
0,AKAR,2020,5826.34
1,AKAR,2020,3099.92
2,ALAATTİN ELMAS,2020,5826.34
3,BABAYİĞİT,2020,3099.92
4,BAHÇECİK 1,2020,1942.11
5,BAKLA ÇİÇEĞİ,2020,2718.96
6,BALCI,2020,3099.92
7,BORU ÇİÇEĞİ,2020,7282.93
8,ÇEVRE PAZARI,2020,2713.98
9,ÇİFTE CEVİZLER,2020,4855.29
10,ÇİTLENBİK,2020,4855.29
11,DARÜLACEZE,2020,14341.78
12,DEDEOĞLU,2020,3099.92
13,EFE 1,2020,2713.98
14,G-11 ÇİĞDEM,2020,2718.96
15,G-12 MOR ÇİÇEK,2020,2718.96
16,G-13 ULUBATLI,2020,2718.96
17,G-14 VİŞNE,2020,2718.96
18,G-19 İNCİRLİ,2020,3107.38
19,GÜL 2,2020,3099.92
20,HALİDE EDİP ADIVAR,2020,4855.29
21,IŞIKLI,2020,4855.29
22,KARAYİĞİT,2020,4855.29
23,KATMERLİ GÜL,2020,4855.29
24,KEKLİK,2020,1942.11
25,KESTANELİK,2020,3099.92
26,KINALI,2020,3099.92
27,KIZILCIK,2020,3099.92
28,KİRAZ 1,2020,3099.92
29,KUTLUBEY,2020,3099.92
30,MELİKŞAH,2020,3099.92
31,SARI ÇİÇEK,2020,3099.92
32,SEKİBAĞ,2020,3884.23
33,SULTAN,2020,5826.34
34,TANIR,2020,3099.92
35,TANYOLU,2020,3099.92
36,AKAR,2019,5235.28
37,AKAR,2019,2785.44
38,ALAATTİN ELMAS,2019,5235.28
39,BABAYİĞİT,2019,2785.44
40,BAHÇECİK 1,2019,1745.09
41,BAKLA ÇİÇEĞİ,2019,2443.13
42,BALCI,2019,2785.44
43,BORU ÇİÇEĞİ,2019,6544.1
44,ÇEVRE PAZARI,2019,2438.66
45,ÇİFTE CEVİZLER,2019,4362.74
46,ÇİTLENBİK,2019,4362.74
47,DARÜLACEZE,2019,12886.85
48,DEDEOĞLU,2019,2785.44
49,EFE 1,2019,2438.66
50,G-11 ÇİĞDEM,2019,2443.13
51,G-12 MOR ÇİÇEK,2019,2443.13
52,G-13 ULUBATLI,2019,2443.13
53,G-14 VİŞNE,2019,2443.13
54,G-19 İNCİRLİ,2019,2792.15
55,GÜL 2,2019,2785.44
56,HALİDE EDİP ADIVAR,2019,4362.74
57,IŞIKLI,2019,4362.74
58,KARAYİĞİT,2019,4362.74
59,KATMERLİ GÜL,2019,4362.74
60,KEKLİK,2019,1745.09
61,KESTANELİK,2019,2785.44
62,KINALI,2019,2785.44
63,KIZILCIK,2019,2785.44
64,KİRAZ 1,2019,2785.44
65,KUTLUBEY,2019,2785.44
66,MELİKŞAH,2019,2785.44
67,SARI ÇİÇEK,2019,2785.44
68,SEKİBAĞ,2019,3490.19
69,SULTAN,2019,5235.28
70,TANIR,2019,2785.44
71,TANYOLU,2019,2785.44
72,AKAR,2018,2490
73,AKAR,2018,4680
74,ALAATTİN ELMAS,2018,4680
75,BABAYİĞİT,2018,2490
76,BAHÇECİK 1,2018,1560
77,BAKLA ÇİÇEĞİ,2018,2184
78,BALCI,2018,2490
79,BORU ÇİÇEĞİ,2018,5850
80,ÇEVRE PAZARI,2018,2180
81,ÇİFTE CEVİZLER,2018,3900
82,ÇİTLENBİK,2018,3900
83,DARÜLACEZE,2018,11520
84,DEDEOĞLU,2018,2490
85,EFE 1,2018,2180
86,G-11 ÇİĞDEM,2018,2184
87,G-12 MOR ÇİÇEK,2018,2184
88,G-13 ULUBATLI,2018,2184
89,G-14 VİŞNE,2018,2184
90,G-19 İNCİRLİ,2018,2496
91,GÜL 2,2018,2490
92,HALİDE EDİP ADIVAR,2018,3900
93,IŞIKLI,2018,3900
94,KARAYİĞİT,2018,3900
95,KATMERLİ GÜL,2018,3900
96,KEKLİK,2018,1560
97,KESTANELİK,2018,2490
98,KINALI,2018,2490
