,sokak,yil,rayic
0,ABDULLAH ERASLAN,2020,2614.39
1,AREL ARALIĞI,2020,2614.39
2,AREL,2020,2614.39
3,AYDINLIKTEPE,2020,2614.39
4,DARÜLACEZE,2020,7320.28
5,DEREBOYU 1,2020,2614.39
6,DERNEK,2020,1120.46
7,ERDEMLİ,2020,2614.39
8,ERKMEN,2020,2614.39
9,ERTAN,2020,2614.39
10,GÜLER,2020,2614.39
11,HAMAM,2020,2614.39
12,HERGÜN,2020,2614.39
13,İLHANLI,2020,2614.39
14,MERCAN,2020,2614.39
15,NAZLI,2020,2614.39
16,ODESA,2020,9411.78
17,OKATANLAR,2020,2614.39
18,PERPA A BLOK (ELEKTROKENT),2020,9411.78
19,PERPA,2020,2614.39
20,PERPA B BLOK (PERPA),2020,9411.78
21,PİYALEPAŞA BULVARI,2020,10457.54
22,TAŞKIZAK,2020,2614.39
23,TEOMAN,2020,2614.39
24,YAMAÇ,2020,2614.39
25,YÜZER HAVUZ,2020,2614.39
26,ABDULLAH ERASLAN,2019,2349.17
27,AREL,2019,2349.17
28,AREL ARALIĞI,2019,2349.17
29,AYDINLIKTEPE,2019,2349.17
30,DARÜLACEZE,2019,6577.66
31,DEREBOYU 1,2019,2349.17
32,DERNEK,2019,1006.79
33,ERDEMLİ,2019,2349.17
34,ERKMEN,2019,2349.17
35,ERTAN,2019,2349.17
36,GÜLER,2019,2349.17
37,HAMAM,2019,2349.17
38,HERGÜN,2019,2349.17
39,İLHANLI,2019,2349.17
40,MERCAN,2019,2349.17
41,NAZLI,2019,2349.17
42,ODESA,2019,8456.99
43,OKATANLAR,2019,2349.17
44,PERPA A BLOK (ELEKTROKENT),2019,8456.99
45,PERPA,2019,2349.17
46,PERPA B BLOK (PERPA),2019,8456.99
47,PİYALEPAŞA BULVARI,2019,9396.66
48,TAŞKIZAK,2019,2349.17
49,TEOMAN,2019,2349.17
50,YAMAÇ,2019,2349.17
51,YÜZER HAVUZ,2019,2349.17
52,ABDULLAH ERASLAN,2018,2100
53,AREL ARALIĞI,2018,2100
54,AREL,2018,2100
55,AYDINLIKTEPE,2018,2100
56,DARÜLACEZE,2018,5880
57,DEREBOYU 1,2018,2100
58,DERNEK,2018,900
59,ERDEMLİ,2018,2100
60,ERKMEN,2018,2100
61,ERTAN,2018,2100
62,GÜLER,2018,2100
63,HAMAM,2018,2100
64,HERGÜN,2018,2100
65,İLHANLI,2018,2100
66,MERCAN,2018,2100
67,NAZLI,2018,2100
68,ODESA,2018,7560
69,OKATANLAR,2018,2100
70,PERPA,2018,2100
71,PERPA A BLOK (ELEKTROKENT),2018,7560
72,PERPA B BLOK (PERPA),2018,7560
73,PİYALEPAŞA BULVARI,2018,8400
74,TAŞKIZAK,2018,2100
75,TEOMAN,2018,2100
76,YAMAÇ,2018,2100
77,YÜZER HAVUZ,2018,2100
78,ABDULLAH ERASLAN,2017,1962.13
