,sokak,yil,rayic
0,"1759 ADA, 64 PARSEL",2020,37049.58
1,"769 ADA, 15 PARSEL",2020,41830.17
2,"778 ADA, 25-26 PARSELLER",2020,41830.17
3,ABDİ İPEKÇİ,2020,34958.07
4,ALTIN,2020,24201.75
5,ASKER OCAĞI,2020,23305.38
6,ATİYE,2020,24201.75
7,BOSTAN,2020,24201.75
8,BRONZ,2020,24201.75
9,DARÜLBEDAİ,2020,26890.82
10,DEMOKRASİ PARKI,2020,15686.31
11,HİLTON YOLU,2020,26890.82
12,HÜSREV GEREDE,2020,17927.22
13,IŞILTI,2020,19122.36
14,KADIRGALAR,2020,26890.82
15,MAÇKA,2020,34958.07
16,MİM KEMAL ÖKE,2020,34958.07
17,MİM KEMAL ÖKE,2020,41830.17
18,PROF. DR. FEYZİ FEYZİOĞLU,2020,19122.36
19,TAŞKIŞLA,2020,41830.17
20,TEŞVİKİYE,2020,31372.63
21,VALİ KONAĞI,2020,31372.63
22,"1759 ADA, 64 PARSEL",2019,33291.02
23,"769 ADA, 15 PARSEL",2019,37586.64
24,"778 ADA, 25-26 PARSELLER",2019,37586.64
25,ABDİ İPEKÇİ,2019,31411.69
26,ALTIN,2019,21746.56
27,ASKER OCAĞI,2019,20941.13
28,ATİYE,2019,21746.56
29,BOSTAN,2019,21746.56
30,BRONZ,2019,21746.56
31,DARÜLBEDAİ,2019,24162.84
32,DEMOKRASİ PARKI,2019,14094.99
33,HİLTON YOLU,2019,24162.84
34,HÜSREV GEREDE,2019,16108.56
35,IŞILTI,2019,17182.46
36,KADIRGALAR,2019,24162.84
37,MAÇKA,2019,31411.69
38,MİM KEMAL ÖKE,2019,37586.64
39,MİM KEMAL ÖKE,2019,31411.69
40,PROF. DR. FEYZİ FEYZİOĞLU,2019,17182.46
41,TAŞKIŞLA,2019,37586.64
42,TEŞVİKİYE,2019,28189.98
43,VALİ KONAĞI,2019,28189.98
44,"1759 ADA, 64 PARSEL",2018,29760
45,"769 ADA, 15 PARSEL",2018,33600
46,"778 ADA, 25-26 PARSELLER",2018,33600
47,ABDİ İPEKÇİ,2018,28080
48,ALTIN,2018,19440
49,ASKER OCAĞI,2018,18720
50,ATİYE,2018,19440
51,BOSTAN,2018,19440
52,BRONZ,2018,19440
53,DARÜLBEDAİ,2018,21600
54,DEMOKRASİ PARKI,2018,12600
55,HİLTON YOLU,2018,21600
56,HÜSREV GEREDE,2018,14400
57,IŞILTI,2018,15360
58,KADIRGALAR,2018,21600
59,MAÇKA,2018,28080
60,MİM KEMAL ÖKE,2018,33600
61,MİM KEMAL ÖKE,2018,28080
62,PROF. DR. FEYZİ FEYZİOĞLU,2018,15360
63,TAŞKIŞLA,2018,33600
64,TEŞVİKİYE,2018,25200
65,VALİ KONAĞI,2018,25200
66,"1759 ADA, 64 PARSEL",2017,27806.23
67,"769 ADA, 15 PARSEL",2017,31394.13
68,"778 ADA, 25-26 PARSELLER",2017,31394.13
69,ABDİ İPEKÇİ,2017,26236.52
70,ALTIN,2017,18163.75
71,ASKER OCAĞI,2017,17491.01
72,ATİYE,2017,18163.75
73,BOSTAN,2017,18163.75
74,BRONZ,2017,18163.75
75,DARÜLBEDAİ,2017,20181.95
76,DEMOKRASİ PARKI,2017,11772.81
77,HİLTON YOLU,2017,20181.95
78,HÜSREV GEREDE,2017,13454.62
79,IŞILTI,2017,14351.6
80,KADIRGALAR,2017,20181.95
81,MAÇKA,2017,26236.52
82,MİM KEMAL ÖKE,2017,31394.13
83,MİM KEMAL ÖKE,2017,26236.52
84,PROF. DR. FEYZİ FEYZİOĞLU,2017,14351.6
85,TAŞKIŞLA,2017,31394.13
86,TEŞVİKİYE,2017,23545.6
87,VALİ KONAĞI,2017,23545.6
88,"1759 ADA, 64 PARSEL",2016,26780.54
89,"769 ADA, 15 PARSEL",2016,30236.09
90,"778 ADA, 25-26 PARSELLER",2016,30236.09
91,ABDİ İPEKÇİ,2016,25268.73
92,ALTIN,2016,17493.74
93,ASKER OCAĞI,2016,16845.82
94,ATİYE,2016,17493.74
95,BOSTAN,2016,17493.74
96,BRONZ,2016,17493.74
97,DARÜLBEDAİ,2016,19437.49
98,DEMOKRASİ PARKI,2016,11338.54
99,HİLTON YOLU,2016,19437.49
100,HÜSREV GEREDE,2016,12958.32
101,IŞILTI,2016,13822.21
102,KADIRGALAR,2016,19437.49
103,MAÇKA,2016,25268.73
104,MİM KEMAL ÖKE,2016,30236.09
105,MİM KEMAL ÖKE,2016,25268.73
106,PROF. DR. FEYZİ FEYZİOĞLU,2016,13822.21
