,sokak,yil,rayic
0,ABACI YOKUŞU,2020,1254.91
1,AHMET BAYMAN,2020,5019.62
2,ARKAN,2020,5019.62
3,ASUDE,2020,8366.04
4,ATATÜRK,2020,5019.62
5,AYAZ,2020,8366.04
6,AYAZAĞA CENDERE,2020,3346.41
7,AYIŞIĞI,2020,13445.41
8,BARBAROS,2020,5019.62
9,BEYAZIT,2020,5019.62
10,BURÇAK,2020,836.6
11,CANDAN (G-48),2020,8366.04
12,CENDERE,2020,4541.57
13,CENDERE,2020,8366.04
14,CENDERE,2020,3346.41
15,CESUR,2020,1254.91
16,CUMHURİYET,2020,5019.62
17,CUMHURİYET,2020,4183.01
18,ÇAMLIK,2020,8366.04
19,DEFNE,2020,1254.91
20,DENİZ-1 SK,2020,8366.04
21,DESTEGÜL,2020,5019.62
22,DOĞA ÇIKMAZI,2020,836.6
23,EMEKTAR,2020,5019.62
24,FATİH (E.B.DERE),2020,8366.04
25,FAZIL KAFTANOĞLU,2020,8366.04
26,GONCA (G-48),2020,8366.04
27,GÖL (OD.SIT 2.YOL),2020,8366.04
28,GÖNÜL-2,2020,836.6
29,HANIMELİ (GÜL),2020,836.6
30,İBRAHİM KARAOĞLANOĞLU,2020,4183.01
31,İMAM ÇEŞME YOLU,2020,8366.04
32,İSMET İNÖNÜ,2020,5019.62
33,KANARYA-1,2020,836.6
34,KÜLTÜR,2020,4183.01
35,LALE-2,2020,836.6
36,MASLAK AYAZAĞA,2020,6692.82
37,MENDERES,2020,5019.62
38,MENEKŞE,2020,836.6
39,MERİÇ-1,2020,836.6
40,OKUL,2020,4183.01
41,ORKİDE (G-48),2020,8366.04
42,OYAK SİTESİ,2020,4183.01
43,ÖZBAY,2020,5019.62
44,PAPATYA-2,2020,836.6
45,POLİS LOJMANLARI,2020,2509.81
46,SAKARYA,2020,836.6
47,TOMURCUK-1,2020,8366.04
48,UFUK,2020,836.6
49,ULUBAŞ,2020,5019.62
50,UMAR,2020,5019.62
51,YASEMİN,2020,836.6
52,YILDIZ,2020,836.6
53,YOKUŞ ÇIKMAZI (7744 ADA ÇIK.),2020,836.6
54,ABACI YOKUŞU,2019,1127.6
55,AHMET BAYMAN,2019,4510.4
56,ARKAN,2019,4510.4
57,ASUDE,2019,7517.33
58,ATATÜRK,2019,4510.4
59,AYAZAĞA CENDERE,2019,3006.93
60,AYAZ,2019,7517.33
61,AYIŞIĞI,2019,12081.42
62,BARBAROS,2019,4510.4
63,BEYAZIT,2019,4510.4
64,BURÇAK,2019,751.73
65,CANDAN (G-48),2019,7517.33
66,CENDERE,2019,7517.33
67,CENDERE,2019,3006.93
68,CENDERE,2019,4080.84
69,CESUR,2019,1127.6
70,CUMHURİYET,2019,4510.4
71,CUMHURİYET,2019,3758.66
72,ÇAMLIK,2019,7517.33
73,DEFNE,2019,1127.6
74,DENİZ-1 SK,2019,7517.33
75,DESTEGÜL,2019,4510.4
76,DOĞA ÇIKMAZI,2019,751.73
77,EMEKTAR,2019,4510.4
78,FATİH (E.B.DERE),2019,7517.33
79,FAZIL KAFTANOĞLU,2019,7517.33
80,GONCA (G-48),2019,7517.33
81,GÖL (OD.SIT 2.YOL),2019,7517.33
82,GÖNÜL-2,2019,751.73
83,HANIMELİ (GÜL),2019,751.73
84,İBRAHİM KARAOĞLANOĞLU,2019,3758.66
85,İMAM ÇEŞME YOLU,2019,7517.33
86,İSMET İNÖNÜ,2019,4510.4
87,KANARYA-1,2019,751.73
88,KÜLTÜR,2019,3758.66
89,LALE-2,2019,751.73
90,MASLAK AYAZAĞA,2019,6013.86
91,MENDERES,2019,4510.4
92,MENEKŞE,2019,751.73
93,MERİÇ-1,2019,751.73
94,OKUL,2019,3758.66
95,ORKİDE (G-48),2019,7517.33
96,OYAK SİTESİ,2019,3758.66
97,ÖZBAY,2019,4510.4
98,PAPATYA-2,2019,751.73
99,POLİS LOJMANLARI,2019,2255.2
100,SAKARYA,2019,751.73
101,TOMURCUK-1,2019,7517.33
102,UFUK,2019,751.73
103,ULUBAŞ,2019,4510.4
104,UMAR,2019,4510.4
105,YASEMİN,2019,751.73
106,YILDIZ,2019,751.73
107,YOKUŞ ÇIKMAZI (7744 ADA ÇIK.),2019,751.73
108,ABACI YOKUŞU,2018,1008
109,AHMET BAYMAN,2018,4032
110,ARKAN,2018,4032
111,ASUDE,2018,6720
112,ATATÜRK,2018,4032
113,AYAZAĞA CENDERE,2018,2688
114,AYAZ,2018,6720
115,AYIŞIĞI,2018,10800
116,BARBAROS,2018,4032
117,BEYAZIT,2018,4032
118,BURÇAK,2018,672
119,CANDAN (G-48),2018,6720
120,CENDERE,2018,3648
121,CENDERE,2018,6720
122,CENDERE,2018,2688
123,CESUR,2018,1008
124,CUMHURİYET,2018,3360
125,CUMHURİYET,2018,4032
126,ÇAMLIK,2018,6720
127,DEFNE,2018,1008
128,DENİZ-1 SK,2018,6720
129,DESTEGÜL,2018,4032
130,DOĞA ÇIKMAZI,2018,672
131,EMEKTAR,2018,4032
132,FATİH (E.B.DERE),2018,6720
133,FAZIL KAFTANOĞLU,2018,6720
134,GONCA (G-48),2018,6720
135,GÖL (OD.SIT 2.YOL),2018,6720
136,GÖNÜL-2,2018,672
137,HANIMELİ (GÜL),2018,672
138,İBRAHİM KARAOĞLANOĞLU,2018,3360
139,İMAM ÇEŞME YOLU,2018,6720
140,İSMET İNÖNÜ,2018,4032
141,KANARYA-1,2018,672
142,KÜLTÜR,2018,3360
143,LALE-2,2018,672
144,MASLAK AYAZAĞA,2018,5376
145,MENDERES,2018,4032
146,MENEKŞE,2018,672
147,MERİÇ-1,2018,672
148,OKUL,2018,3360
149,ORKİDE (G-48),2018,6720
150,OYAK SİTESİ,2018,3360
151,ÖZBAY,2018,4032
152,PAPATYA-2,2018,672
153,POLİS LOJMANLARI,2018,2016
154,SAKARYA,2018,672
155,TOMURCUK-1,2018,6720
156,UFUK,2018,672
157,ULUBAŞ,2018,4032
158,UMAR,2018,4032
159,YASEMİN,2018,672
160,YILDIZ,2018,672
161,YOKUŞ ÇIKMAZI (7744 ADA ÇIK.),2018,672
162,ABACI YOKUŞU,2017,941.82
163,AHMET BAYMAN,2017,3767.3
164,ARKAN,2017,3767.3
165,ASUDE,2017,6278.83
166,ATATÜRK,2017,3767.3
167,AYAZ,2017,6278.83
168,AYAZAĞA CENDERE,2017,2511.53
169,AYIŞIĞI,2017,10090.97
170,BARBAROS,2017,3767.3
171,BEYAZIT,2017,3767.3
172,BURÇAK,2017,627.88
173,CANDAN (G-48),2017,6278.83
174,CENDERE,2017,3408.5
175,CENDERE,2017,2511.53
176,CENDERE,2017,6278.83
177,CESUR,2017,941.82
178,CUMHURİYET,2017,3139.41
179,CUMHURİYET,2017,3767.3
180,ÇAMLIK,2017,6278.83
181,DEFNE,2017,941.82
182,DENİZ-1 SK,2017,6278.83
183,DESTEGÜL,2017,3767.3
184,DOĞA ÇIKMAZI,2017,627.88
185,EMEKTAR,2017,3767.3
186,FATİH (E.B.DERE),2017,6278.83
187,FAZIL KAFTANOĞLU,2017,6278.83
188,GONCA (G-48),2017,6278.83
189,GÖL (OD.SIT 2.YOL),2017,6278.83
190,GÖNÜL-2,2017,627.88
191,HANIMELİ (GÜL),2017,627.88
192,İBRAHİM KARAOĞLANOĞLU,2017,3139.41
193,İMAM ÇEŞME YOLU,2017,6278.83
194,İSMET İNÖNÜ,2017,3767.3
195,KANARYA-1,2017,627.88
196,KÜLTÜR,2017,3139.41
197,LALE-2,2017,627.88
198,MASLAK AYAZAĞA,2017,5023.06
199,MENDERES,2017,3767.3
200,MENEKŞE,2017,627.88
201,MERİÇ-1,2017,627.88
202,OKUL,2017,3139.41
203,ORKİDE (G-48),2017,6278.83
204,OYAK SİTESİ,2017,3139.41
205,ÖZBAY,2017,3767.3
206,PAPATYA-2,2017,627.88
207,POLİS LOJMANLARI,2017,1883.64
208,SAKARYA,2017,627.88
209,TOMURCUK-1,2017,6278.83
210,UFUK,2017,627.88
211,ULUBAŞ,2017,3767.3
212,UMAR,2017,3767.3
213,YASEMİN,2017,627.88
214,YILDIZ,2017,627.88
215,YOKUŞ ÇIKMAZI (7744 ADA ÇIK.),2017,627.88
216,ABACI YOKUŞU,2016,907.08
217,AHMET BAYMAN,2016,3628.33
218,ARKAN,2016,3628.33
219,ASUDE,2016,6047.22
220,ATATÜRK,2016,3628.33
221,AYAZ,2016,6047.22
222,AYAZAĞA CENDERE,2016,2418.89
223,AYIŞIĞI,2016,9718.74
224,BARBAROS,2016,3628.33
225,BEYAZIT,2016,3628.33
226,BURÇAK,2016,604.72
227,CANDAN (G-48),2016,6047.22
228,CENDERE,2016,6047.22
229,CENDERE,2016,3282.77
230,CENDERE,2016,2418.89
231,CESUR,2016,907.08
232,CUMHURİYET,2016,3023.61
233,CUMHURİYET,2016,3628.33
234,ÇAMLIK,2016,6047.22
235,DEFNE,2016,907.08
236,DENİZ-1 SK,2016,6047.22
237,DESTEGÜL,2016,3628.33
238,DOĞA ÇIKMAZI,2016,604.72
239,EMEKTAR,2016,3628.33
240,FATİH (E.B.DERE),2016,6047.22
241,FAZIL KAFTANOĞLU,2016,6047.22
242,GONCA (G-48),2016,6047.22
243,GÖL (OD.SIT 2.YOL),2016,6047.22
244,GÖNÜL-2,2016,604.72
245,HANIMELİ (GÜL),2016,604.72
246,İBRAHİM KARAOĞLANOĞLU,2016,3023.61
247,İMAM ÇEŞME YOLU,2016,6047.22
248,İSMET İNÖNÜ,2016,3628.33
249,KANARYA-1,2016,604.72
250,KÜLTÜR,2016,3023.61
251,LALE-2,2016,604.72
252,MASLAK AYAZAĞA,2016,4837.77
253,MENDERES,2016,3628.33
254,MENEKŞE,2016,604.72
255,MERİÇ-1,2016,604.72
256,OKUL,2016,3023.61
257,ORKİDE (G-48),2016,6047.22
258,OYAK SİTESİ,2016,3023.61
259,ÖZBAY,2016,3628.33
260,PAPATYA-2,2016,604.72
261,POLİS LOJMANLARI,2016,1814.16
262,SAKARYA,2016,604.72
263,TOMURCUK-1,2016,6047.22
264,UFUK,2016,604.72
265,ULUBAŞ,2016,3628.33
266,UMAR,2016,3628.33
267,YASEMİN,2016,604.72
268,YILDIZ,2016,604.72
269,YOKUŞ ÇIKMAZI (7744 ADA ÇIK.),2016,604.72
270,ABACI YOKUŞU,2015,882.46
271,AHMET BAYMAN,2015,3529.85
272,ARKAN,2015,3529.85
273,ASUDE,2015,5883.08
274,ATATÜRK,2015,3529.85
275,AYAZAĞA CENDERE,2015,2353.23
276,AYAZ,2015,5883.08
277,AYIŞIĞI,2015,9454.95
278,BARBAROS,2015,3529.85
279,BEYAZIT,2015,3529.85
280,BURÇAK,2015,588.31
281,CANDAN (G-48),2015,5883.08
282,CENDERE,2015,2353.23
283,CENDERE,2015,3193.67
284,CENDERE,2015,5883.08
285,CESUR,2015,882.46
286,CUMHURİYET,2015,3529.85
287,CUMHURİYET,2015,2941.54
288,ÇAMLIK,2015,5883.08
289,DEFNE,2015,882.46
290,DENİZ-1 SK,2015,5883.08
291,DESTEGÜL,2015,3529.85
292,DOĞA ÇIKMAZI,2015,588.31
293,EMEKTAR,2015,3529.85
294,FATİH (E.B.DERE),2015,5883.08
295,FAZIL KAFTANOĞLU,2015,5883.08
296,GONCA (G-48),2015,5883.08
297,GÖL (OD.SIT 2.YOL),2015,5883.08
298,GÖNÜL-2,2015,588.31
299,HANIMELİ (GÜL),2015,588.31
300,İBRAHİM KARAOĞLANOĞLU,2015,2941.54
301,İMAM ÇEŞME YOLU,2015,5883.08
302,İSMET İNÖNÜ,2015,3529.85
303,KANARYA-1,2015,588.31
304,KÜLTÜR,2015,2941.54
305,LALE-2,2015,588.31
306,MASLAK AYAZAĞA,2015,4706.46
307,MENDERES,2015,3529.85
308,MENEKŞE,2015,588.31
309,MERİÇ-1,2015,588.31
310,OKUL,2015,2941.54
311,ORKİDE (G-48),2015,5883.08
312,OYAK SİTESİ,2015,2941.54
313,ÖZBAY,2015,3529.85
314,PAPATYA-2,2015,588.31
315,POLİS LOJMANLARI,2015,1764.92
316,SAKARYA,2015,588.31
317,TOMURCUK-1,2015,5883.08
318,UFUK,2015,588.31
319,ULUBAŞ,2015,3529.85
320,UMAR,2015,3529.85
321,YASEMİN,2015,588.31
322,YILDIZ,2015,588.31
323,YOKUŞ ÇIKMAZI (7744 ADA ÇIK.),2015,588.31
324,ABACI YOKUŞU,2014,840
325,AHMET BAYMAN,2014,3360
326,ARKAN,2014,3360
327,ASUDE,2014,5600
328,ATATÜRK,2014,3360
329,AYAZ,2014,5600
330,AYAZAĞA CENDERE,2014,2240
331,AYIŞIĞI,2014,9000
332,BARBAROS,2014,3360
333,BEYAZIT,2014,3360
334,BURÇAK,2014,560
335,CANDAN (G-48),2014,5600
336,CENDERE,2014,2240
337,CENDERE,2014,5600
338,CENDERE,2014,3040
339,CESUR,2014,840
340,CUMHURİYET,2014,3360
341,CUMHURİYET,2014,2800
342,ÇAMLIK,2014,5600
343,DEFNE,2014,840
344,DENİZ-1 SK,2014,5600
345,DESTEGÜL,2014,3360
346,DOĞA ÇIKMAZI,2014,560
347,EMEKTAR,2014,3360
348,FATİH (E.B.DERE),2014,5600
349,FAZIL KAFTANOĞLU,2014,5600
350,GONCA (G-48),2014,5600
351,GÖL (OD.SIT 2.YOL),2014,5600
352,GÖNÜL-2,2014,560
353,HANIMELİ (GÜL),2014,560
354,İBRAHİM KARAOĞLANOĞLU,2014,2800
355,İMAM ÇEŞME YOLU,2014,5600
356,İSMET İNÖNÜ,2014,3360
357,KANARYA-1,2014,560
358,KÜLTÜR,2014,2800
359,LALE-2,2014,560
360,MASLAK AYAZAĞA,2014,4480
361,MENDERES,2014,3360
362,MENEKŞE,2014,560
363,MERİÇ-1,2014,560
364,OKUL,2014,2800
365,ORKİDE (G-48),2014,5600
