,sokak,yil,rayic
0,"2152 ADA, 176 PARSEL",2020,22409.02
1,"2152 ADA, 179 PARSEL",2020,22409.02
2,"2152 ADA, 186 PARSEL",2020,22409.02
3,BAHÇECİK,2020,17927.22
4,BAHÇECİK,2020,1792.73
5,DARÜLACEZE,2020,17927.22
6,DARÜLACEZE,2020,7320.28
7,HALİT ZİYA TÜRKKAN,2020,5228.77
8,HALİT ZİYA TÜRKKAN,2020,16749.99
9,HASTANE YANI,2020,1792.73
10,HASTANE YANI,2020,17927.22
11,İDİL,2020,3286.66
12,İETT BLOKLARI,2020,3734.84
13,PERPA,2020,7320.28
14,PİYALEPAŞA BULVARI,2020,17927.22
15,PİYALEPAŞA BULVARI,2020,5228.77
16,PİYALEPAŞA BULVARI,2020,7320.28
17,PİYALEPAŞA BULVARI,2020,22409.02
18,"2152 ADA, 176 PARSEL",2019,20135.7
19,"2152 ADA, 179 PARSEL",2019,20135.7
20,"2152 ADA, 186 PARSEL",2019,20135.7
21,BAHÇECİK,2019,16108.56
22,BAHÇECİK,2019,1610.86
23,DARÜLACEZE,2019,16108.56
24,DARÜLACEZE,2019,6577.66
25,HALİT ZİYA TÜRKKAN,2019,4698.33
26,HALİT ZİYA TÜRKKAN,2019,15050.76
27,HASTANE YANI,2019,16108.56
28,HASTANE YANI,2019,1610.86
29,İDİL,2019,2953.24
30,İETT BLOKLARI,2019,3355.95
31,PERPA,2019,6577.66
32,PİYALEPAŞA BULVARI,2019,6577.66
33,PİYALEPAŞA BULVARI,2019,20135.7
34,PİYALEPAŞA BULVARI,2019,4698.33
35,PİYALEPAŞA BULVARI,2019,16108.56
36,"2152 ADA, 176 PARSEL",2018,18000
37,"2152 ADA, 179 PARSEL",2018,18000
38,"2152 ADA, 186 PARSEL",2018,18000
39,BAHÇECİK,2018,1440
40,BAHÇECİK,2018,14400
41,DARÜLACEZE,2018,14400
42,DARÜLACEZE,2018,5880
43,HALİT ZİYA TÜRKKAN,2018,4200
44,HALİT ZİYA TÜRKKAN,2018,13454.4
45,HASTANE YANI,2018,1440
46,HASTANE YANI,2018,14400
47,İDİL,2018,2640
48,İETT BLOKLARI,2018,3000
49,PERPA,2018,5880
50,PİYALEPAŞA BULVARI,2018,4200
51,PİYALEPAŞA BULVARI,2018,5880
52,PİYALEPAŞA BULVARI,2018,18000
53,PİYALEPAŞA BULVARI,2018,14400
54,"2152 ADA, 176 PARSEL",2017,16818.29
55,"2152 ADA, 179 PARSEL",2017,16818.29
56,"2152 ADA, 186 PARSEL",2017,16818.29
57,BAHÇECİK,2017,13454.62
58,BAHÇECİK,2017,1345.46
59,DARÜLACEZE,2017,13454.62
60,DARÜLACEZE,2017,5493.98
61,HALİT ZİYA TÜRKKAN,2017,3924.28
62,HALİT ZİYA TÜRKKAN,2017,8969.75
63,HASTANE YANI,2017,13454.62
64,HASTANE YANI,2017,1345.46
65,İDİL,2017,2466.68
66,İETT BLOKLARI,2017,2803.06
67,PERPA,2017,5493.98
68,PİYALEPAŞA BULVARI,2017,3924.28
69,PİYALEPAŞA BULVARI,2017,16818.29
70,PİYALEPAŞA BULVARI,2017,13454.62
71,PİYALEPAŞA BULVARI,2017,5493.98
