,sokak,yil,rayic
0,"1998 ADA, 186 PARSEL",2020,36900.19
1,"2524 ADA, 3 PARSEL",2020,36900.19
2,AKARCA,2020,1244.95
3,ALEV,2020,1244.95
4,ARİF,2020,1244.95
5,ASMA,2020,2091.51
6,AYAZMA YOLU,2020,1244.95
7,BENEK,2020,1244.95
8,BESTEKAR ŞAKİR AĞA,2020,5042.03
9,BİRACILAR,2020,5042.03
10,CİHAN,2020,1244.95
11,ÇİĞDEM,2020,1244.95
12,ÇİLEK,2020,1244.95
13,DEMİRSOY,2020,5042.03
14,DOĞANAY,2020,1244.95
15,DR. SUPHİ EZGÜ,2020,13445.41
16,DURAN,2020,1244.95
17,FINDIK,2020,1244.95
18,FİDAN,2020,1244.95
19,GAZİ ENGİN AYDOĞDU,2020,1244.95
20,GÜMÜŞHANE,2020,8888.91
21,GÜMÜŞHANE,2020,1244.95
22,GÜNEY 2,2020,1244.95
23,GÜZİDE,2020,1244.95
24,HİSAR,2020,1244.95
25,HUDUT,2020,1244.95
26,IŞIL,2020,1244.95
27,İNÖNÜ,2020,2091.51
28,İNÖNÜ,2020,3137.27
29,KARKUYUSU,2020,5042.03
30,KARTOPU ÇIKMAZI,2020,1244.95
31,KISMET,2020,4481.8
32,KIVILCIM,2020,1244.95
33,KIZILCIK MAHMUT,2020,2091.51
34,KÖRFEZ,2020,1244.95
35,KÖZ,2020,1244.95
36,KUMRU,2020,1244.95
37,LALE,2020,3137.27
38,LEYLAK 1,2020,13445.41
39,LİMAN,2020,1244.95
40,LİMON,2020,2091.51
41,MECİDİYEKÖY YOLU,2020,23902.96
42,MESUT CEMİL,2020,5042.03
43,MESUT CEMİL,2020,3137.27
44,MÜJDE,2020,1244.95
45,NAR ÇİÇEĞİ,2020,1244.95
46,OKUL,2020,1195.14
47,ÖMÜR,2020,5042.03
48,ÖNDER,2020,1244.95
49,ÖZGÜR ARALIĞI,2020,1244.95
50,ÖZGÜR,2020,1244.95
51,PAPATYA,2020,1244.95
52,PORTAKAL,2020,1244.95
53,SÜMBÜL 1,2020,1244.95
54,ŞEHİT AHMET,2020,14565.87
55,ŞEHİT AHMET,2020,4481.8
56,ŞEHİT ER CİHAN NAMLI,2020,5378.17
57,ŞEHİT ÖZER AYRANCI,2020,5042.03
58,ŞENGÜL,2020,1244.95
59,TAN,2020,1244.95
60,TOMURCUK,2020,13445.41
61,UĞUR 1,2020,1244.95
62,YAVRUKUŞ,2020,1244.95
63,YEŞİLCE,2020,3137.27
64,YONCALI,2020,2091.51
65,ZEYTİNLİK,2020,1244.95
66,"1998 ADA, 186 PARSEL",2019,33156.79
67,"2524 ADA, 3 PARSEL",2019,33156.79
68,AKARCA,2019,1118.65
69,ALEV,2019,1118.65
70,ARİF,2019,1118.65
71,ASMA,2019,1879.33
72,AYAZMA YOLU,2019,1118.65
73,BENEK,2019,1118.65
74,BESTEKAR ŞAKİR AĞA,2019,4530.53
75,BİRACILAR,2019,4530.53
76,CİHAN,2019,1118.65
77,ÇİĞDEM,2019,1118.65
78,ÇİLEK,2019,1118.65
79,DEMİRSOY,2019,4530.53
80,DOĞANAY,2019,1118.65
81,DR. SUPHİ EZGÜ,2019,12081.42
82,DURAN,2019,1118.65
83,FINDIK,2019,1118.65
84,FİDAN,2019,1118.65
85,GAZİ ENGİN AYDOĞDU,2019,1118.65
86,GÜMÜŞHANE,2019,7987.16
87,GÜMÜŞHANE,2019,1118.65
88,GÜNEY 2,2019,1118.65
