,sokak,yil,rayic
0,AKKİRMAN,2020,5378.17
1,ALBAY SADİ ALANTAR,2020,4108.33
2,AYDINLAR,2020,4108.33
3,BAYTAR AHMET,2020,13445.41
4,BUKET,2020,4108.33
5,CEVHER,2020,4108.33
6,DERE,2020,13445.41
7,EBE KIZI,2020,13445.41
8,EBE KIZI ÇIKMAZI,2020,8366.04
9,EBE KIZI,2020,11951.48
10,ELHAN,2020,5378.17
11,HACI MANSUR,2020,13445.41
12,HALASKARGAZİ,2020,28384.76
13,HİKMET ÇIKMAZI,2020,4108.33
14,HRANT DİNK,2020,15686.31
15,İNAN KIRAÇ,2020,8366.04
16,KEVSER,2020,8366.04
17,KODAMAN,2020,13445.41
18,KÜÇÜK BAHÇE,2020,11204.51
19,MADALYON,2020,12324.97
20,MATBAACI OSMANBEY,2020,13445.41
21,MELEK,2020,4108.33
22,ÖZLEM,2020,4108.33
23,PİYANGO,2020,8366.04
24,RUMELİ,2020,31372.63
25,SUNA KIRAÇ,2020,8366.04
26,SÜTLÜ,2020,8366.04
27,SÜTLÜ ARALIĞI,2020,4108.33
28,ŞAİR NİGAR,2020,13445.41
29,ŞEHİT İSMET ARMAĞAN,2020,5378.17
30,TUĞRUL,2020,11204.51
31,VALİ KONAĞI,2020,14939.35
32,VALİ KONAĞI,2020,26890.82
33,VALİ KONAĞI,2020,24898.91
34,YENİ İLHAN,2020,7320.28
35,YOLGEÇEN ARALIĞI,2020,4108.33
36,AKKİRMAN,2019,4832.57
37,ALBAY SADİ ALANTAR,2019,3691.55
38,AYDINLAR,2019,3691.55
39,BAYTAR AHMET,2019,12081.42
40,BUKET,2019,3691.55
41,CEVHER,2019,3691.55
42,DERE,2019,12081.42
43,EBE KIZI,2019,10739.04
44,EBE KIZI,2019,12081.42
45,EBE KIZI ÇIKMAZI,2019,7517.33
46,ELHAN,2019,4832.57
47,HACI MANSUR,2019,12081.42
48,HALASKARGAZİ,2019,25505.22
49,HİKMET ÇIKMAZI,2019,3691.55
50,HRANT DİNK,2019,14094.99
51,İNAN KIRAÇ,2019,7517.33
52,KEVSER,2019,7517.33
53,KODAMAN,2019,12081.42
54,KÜÇÜK BAHÇE,2019,10067.85
55,MADALYON,2019,11074.64
56,MATBAACI OSMANBEY,2019,12081.42
57,MELEK,2019,3691.55
58,ÖZLEM,2019,3691.55
59,PİYANGO,2019,7517.33
60,RUMELİ,2019,28189.98
61,SUNA KIRAÇ,2019,7517.33
62,SÜTLÜ,2019,7517.33
63,SÜTLÜ ARALIĞI,2019,3691.55
64,ŞAİR NİGAR,2019,12081.42
65,ŞEHİT İSMET ARMAĞAN,2019,4832.57
66,TUĞRUL,2019,10067.85
67,VALİ KONAĞI,2019,13423.8
68,VALİ KONAĞI,2019,22373
69,VALİ KONAĞI,2019,24162.84
70,YENİ İLHAN,2019,6577.66
