,sokak,yil,rayic
0,1. HAKAN,2020,1244.95
1,2. ÇINARLI,2020,1244.95
2,2. HAKAN,2020,1244.95
3,ADALET,2020,1244.95
4,ADSIZ NEFER,2020,2240.9
5,AKIN,2020,1244.95
6,ARALIK 1,2020,1244.95
7,ATALAK ÇIKMAZI,2020,1244.95
8,AVUKAT,2020,1792.73
9,AY,2020,1244.95
10,BAHADIR 1,2020,1244.95
11,BAHAR 1,2020,1792.73
12,BAHÇE,2020,1244.95
13,BARUTÇULAR,2020,1792.73
14,BATI,2020,2240.9
15,BEHRAM ÇAVUŞ,2020,2240.9
16,BUHURLU ÇIKMAZI,2020,1244.95
17,BUHURLU,2020,1244.95
18,BULANIK DERE,2020,1244.95
19,CAMİ ARALIĞI,2020,1493.93
20,CENGİZ,2020,1244.95
21,CİVELEK,2020,2240.9
22,ÇAKIL,2020,1244.95
23,ÇEŞME 1,2020,1244.95
24,ÇİĞDEM 3,2020,1244.95
25,ÇİMEN 2,2020,1244.95
26,DARULECEZE ARALIĞI,2020,1195.14
27,DARÜLACEZE YOLU,2020,2240.9
28,DERE,2020,1195.14
29,DERMAN,2020,1244.95
30,DERNEK,2020,1244.95
31,DİLEK,2020,1244.95
32,DUTLUK,2020,1244.95
33,EMEK,2020,1244.95
34,ERDEK,2020,1244.95
35,ESEN 1,2020,1244.95
36,EVREN,2020,1244.95
37,FERACE,2020,2240.9
38,FERAHİ,2020,2240.9
39,FERAHNAK,2020,1244.95
40,GÖNÜL,2020,1244.95
41,GÖZDE ÇIKMAZI,2020,1244.95
42,GÜLER 1,2020,1244.95
43,GÜLŞEN,2020,1244.95
44,GÜL,2020,1244.95
45,GÜNEY 4,2020,1244.95
46,GÜZELBAHÇE 1,2020,1244.95
47,HASRET,2020,1244.95
48,HİLAL 2,2020,1244.95
49,IŞIKLI,2020,1195.14
50,İNCİ,2020,1244.95
51,İNCİRLİ DEDE,2020,1244.95
52,KAAN,2020,2240.9
53,KAHRAMANBEY,2020,2240.9
54,KARAKULLUKÇU,2020,1244.95
55,KÖPRÜBAŞI,2020,1195.14
56,KÖŞK,2020,1244.95
57,KURŞUN,2020,1792.73
58,KUYU 1,2020,1244.95
59,LEYLAK,2020,1244.95
60,MAHMUTAĞA,2020,1244.95
61,MAHMUTAĞA ÇIKMAZI,2020,1244.95
62,MEYDAN,2020,1244.95
63,MİLLET,2020,1244.95
64,MİRALAY KAMİLBEY,2020,2240.9
65,NEŞE,2020,1244.95
66,ORTANCA ARALIĞI,2020,1493.93
67,ORTANCA,2020,2240.9
68,PİYALEPAŞA BULVARI,2020,8963.61
69,POYRAZ 1,2020,1244.95
70,RUŞEN,2020,1244.95
71,SAFFET,2020,1244.95
72,SARAY,2020,1244.95
73,SAVAR,2020,1244.95
74,SELMA,2020,1244.95
75,SELMAN,2020,1244.95
76,SEVİL,2020,1244.95
77,SEVİMLİ,2020,1244.95
78,SULTAN,2020,1244.95
79,ŞAHİNLER 1,2020,1244.95
80,TENEKE ÇIKMAZI,2020,1244.95
81,TOPEL,2020,1244.95
82,TURANBEY,2020,1244.95
83,ÜLKER,2020,1244.95
