,sokak,yil,rayic
0,"406 ADA, 3-15 PARSELLER",2020,11204.51
1,"407 ADA, 55-56-76-77-78 PARSELLER",2020,23902.96
2,"830 ADA, 3 PARSEL",2020,31372.63
3,"839 ADA, 9 PARSEL",2020,26890.82
4,AHMET FETGERİ,2020,14565.87
5,AKKAVAK,2020,14565.87
6,AV. SÜREYYA AĞAOĞLU,2020,11204.51
7,AV.SÜREYYA AĞAOĞLU (MERDİVENLİ),2020,9411.78
8,BARAKALAR,2020,2191.1
9,BÜYÜK ÇİFTLİK,2020,14565.87
10,BÜYÜK ÇİFTLİK ARALIĞI,2020,11204.51
11,BÜYÜK ÇİFTLİK ÇIKMAZI,2020,11204.51
12,ÇAĞDAŞ,2020,11204.51
13,DERYADİL,2020,9411.78
14,DUTLUK İÇİ,2020,11204.51
15,FERAH,2020,26890.82
16,FULYA,2020,14565.87
17,GÜZEL BAHÇE,2020,14565.87
18,HACI EMİN EFENDİ,2020,14565.87
19,HAKKI YETEN,2020,23902.96
20,HAKKI YETEN,2020,26890.82
21,HASAN CEVDET PAŞA,2020,11204.51
22,HOSTES RONA ALTINAY,2020,9411.78
23,HÜSREV GEREDE,2020,14565.87
24,İPEK,2020,11204.51
25,KIVANÇ,2020,9411.78
26,KÖŞKÜSTÜ,2020,2191.1
27,MURADİYE BAYIRI,2020,9411.78
28,MURADİYE DERESİ,2020,2191.1
29,NİŞANTAŞI IHLAMUR YOLU,2020,14565.87
30,NÜZHETİYE,2020,11204.51
31,OSMAN F. SEDEN,2020,14565.87
32,ÖMER RÜŞTÜ PAŞA,2020,9411.78
33,POYRACIK,2020,14565.87
34,PROF. DR. ORHAN ERSEK,2020,14565.87
35,SALKIM,2020,14565.87
36,SEZAİ SELEK,2020,14565.87
37,SİNOPLU ŞEHİT CEMAL,2020,15686.31
38,ŞAKAYIK,2020,14565.87
39,TEŞVİKİYE CAMİ,2020,14565.87
40,TEŞVİKİYE,2020,31372.63
41,TEŞVİKİYE FIRIN,2020,9523.83
42,VALİ KONAĞI,2020,26890.82
43,YEDİ KARDEŞLER,2020,14565.87
44,"406 ADA, 3-15 PARSELLER",2019,10067.85
45,"407 ADA, 55-56-76-77-78 PARSELLER",2019,21478.08
46,"830 ADA, 3 PARSEL",2019,28189.98
47,"839 ADA, 9 PARSEL",2019,24162.84
48,AHMET FETGERİ,2019,13088.21
49,AKKAVAK,2019,13088.21
50,AV. SÜREYYA AĞAOĞLU,2019,10067.85
51,AV.SÜREYYA AĞAOĞLU (MERDİVENLİ),2019,8456.99
52,BARAKALAR,2019,1968.82
53,BÜYÜK ÇİFTLİK ARALIĞI,2019,10067.85
54,BÜYÜK ÇİFTLİK,2019,13088.21
55,BÜYÜK ÇİFTLİK ÇIKMAZI,2019,10067.85
56,ÇAĞDAŞ,2019,10067.85
57,DERYADİL,2019,8456.99
58,DUTLUK İÇİ,2019,10067.85
59,FERAH,2019,24162.84
60,FULYA,2019,13088.21
61,GÜZEL BAHÇE,2019,13088.21
62,HACI EMİN EFENDİ,2019,13088.21
63,HAKKI YETEN,2019,21478.08
64,HAKKI YETEN,2019,24162.84
65,HASAN CEVDET PAŞA,2019,10067.85
66,HOSTES RONA ALTINAY,2019,8456.99
67,HÜSREV GEREDE,2019,13088.21
68,İPEK,2019,10067.85
69,KIVANÇ,2019,8456.99
70,KÖŞKÜSTÜ,2019,1968.82
71,MURADİYE BAYIRI,2019,8456.99
72,MURADİYE DERESİ,2019,1968.82
73,NİŞANTAŞI IHLAMUR YOLU,2019,13088.21
74,NÜZHETİYE,2019,10067.85
75,OSMAN F. SEDEN,2019,13088.21
76,ÖMER RÜŞTÜ PAŞA,2019,8456.99
77,POYRACIK,2019,13088.21
78,PROF. DR. ORHAN ERSEK,2019,13088.21
79,SALKIM,2019,13088.21
80,SEZAİ SELEK,2019,13088.21
81,SİNOPLU ŞEHİT CEMAL,2019,14094.99
82,ŞAKAYIK,2019,13088.21
83,TEŞVİKİYE CAMİ,2019,13088.21
84,TEŞVİKİYE FIRIN,2019,8557.67
85,TEŞVİKİYE,2019,28189.98
86,VALİ KONAĞI,2019,24162.84
87,YEDİ KARDEŞLER,2019,13088.21
88,"406 ADA, 3-15 PARSELLER",2018,9000
89,"407 ADA, 55-56-76-77-78 PARSELLER",2018,19200
90,"830 ADA, 3 PARSEL",2018,25200
91,"839 ADA, 9 PARSEL",2018,21600
92,AHMET FETGERİ,2018,11700
93,AKKAVAK,2018,11700
94,AV. SÜREYYA AĞAOĞLU,2018,9000
95,AV.SÜREYYA AĞAOĞLU (MERDİVENLİ),2018,7560
96,BARAKALAR,2018,1760
97,BÜYÜK ÇİFTLİK ARALIĞI,2018,9000
98,BÜYÜK ÇİFTLİK ÇIKMAZI,2018,9000
99,BÜYÜK ÇİFTLİK,2018,11700
100,ÇAĞDAŞ,2018,9000
101,DERYADİL,2018,7560
102,DUTLUK İÇİ,2018,9000
103,FERAH,2018,21600
104,FULYA,2018,11700
105,GÜZEL BAHÇE,2018,11700
106,HACI EMİN EFENDİ,2018,11700
107,HAKKI YETEN,2018,19200
108,HAKKI YETEN,2018,21600
