,sokak,yil,rayic
0,"1289 ADA, 11 PARSEL",2020,8216.64
1,2. ORTAKIR,2020,1244.95
2,ANADOL,2020,1244.95
3,ARI,2020,1244.95
4,ATEŞ BÖCEĞİ,2020,1244.95
5,AYÇİÇEĞİ,2020,1244.95
6,BADEM,2020,1244.95
7,BAKIR,2020,1244.95
8,BAŞAK 2,2020,1244.95
9,BAYIR,2020,3734.84
10,BEGONYA,2020,1244.95
11,BİRİNCİ YOL,2020,1244.95
12,BİRLİK,2020,1244.95
13,CAMİ,2020,1244.95
14,CANAN,2020,1244.95
15,CEVİZ,2020,1244.95
16,CİN DERESİ,2020,2240.9
17,CİN DERESİ,2020,9411.78
18,ÇEŞME,2020,1244.95
19,DOLUNAY,2020,1244.95
20,ECZACI,2020,1792.73
21,ERDEM,2020,2240.9
22,FAZİLET,2020,1244.95
23,G-16,2020,1045.76
24,G-21,2020,1045.76
25,G-32,2020,1045.76
26,GÖKÇE,2020,1244.95
27,GÜNEY,2020,1244.95
28,GÜVEN,2020,1244.95
29,GÜZELLER,2020,1244.95
30,HİLAL,2020,2240.9
31,ILGAZ,2020,1244.95
32,İKİNCİ YOL,2020,1244.95
33,KAYISI,2020,1244.95
34,KISA,2020,1244.95
35,KOCABAŞ,2020,1493.93
36,KONACIK,2020,1244.95
37,KONAK,2020,1244.95
38,KORANTİ,2020,1244.95
39,LALA ŞAHİN,2020,2240.9
40,MERDİVENLİ 1,2020,1244.95
41,MEZARLIK YANI,2020,1244.95
42,OKÇULAR,2020,2240.9
43,OZAN,2020,2240.9
44,ÖZDEN,2020,2987.87
45,SEBAHATTİN DELİCE,2020,1244.95
46,SEFA,2020,1244.95
47,SELVİ,2020,1244.95
48,SEVGİ,2020,1244.95
49,TALİMHANE,2020,1244.95
50,TARCAN,2020,1244.95
51,ÜÇÜNCÜ YOL,2020,1244.95
52,ÜNAL,2020,1244.95
53,YAY MEYDANI,2020,1792.73
54,YAY MEYDANI,2020,8963.61
55,YAY MEYDANI,2020,1493.93
56,"1289 ADA, 11 PARSEL",2019,7383.09
57,2. ORTAKIR,2019,1118.65
58,ANADOL,2019,1118.65
59,ARI,2019,1118.65
60,ATEŞ BÖCEĞİ,2019,1118.65
61,AYÇİÇEĞİ,2019,1118.65
62,BADEM,2019,1118.65
63,BAKIR,2019,1118.65
64,BAŞAK 2,2019,1118.65
65,BAYIR,2019,3355.95
66,BEGONYA,2019,1118.65
67,BİRİNCİ YOL,2019,1118.65
68,BİRLİK,2019,1118.65
69,CAMİ,2019,1118.65
70,CANAN,2019,1118.65
71,CEVİZ,2019,1118.65
72,CİN DERESİ,2019,8456.99
73,CİN DERESİ,2019,2013.57
74,ÇEŞME,2019,1118.65
75,DOLUNAY,2019,1118.65
76,ECZACI,2019,1610.86
77,ERDEM,2019,2013.57
78,FAZİLET,2019,1118.65
79,G-16,2019,939.67
80,G-21,2019,939.67
81,G-32,2019,939.67
82,GÖKÇE,2019,1118.65
83,GÜNEY,2019,1118.65
84,GÜVEN,2019,1118.65
85,GÜZELLER,2019,1118.65
86,HİLAL,2019,2013.57
87,ILGAZ,2019,1118.65
88,İKİNCİ YOL,2019,1118.65
89,KAYISI,2019,1118.65
90,KISA,2019,1118.65
91,KOCABAŞ,2019,1342.38
92,KONACIK,2019,1118.65
93,KONAK,2019,1118.65
94,KORANTİ,2019,1118.65
95,LALA ŞAHİN,2019,2013.57
96,MERDİVENLİ 1,2019,1118.65
97,MEZARLIK YANI,2019,1118.65
98,OKÇULAR,2019,2013.57
99,OZAN,2019,2013.57
100,ÖZDEN,2019,2684.76
101,SEBAHATTİN DELİCE,2019,1118.65
102,SEFA,2019,1118.65
103,SELVİ,2019,1118.65
104,SEVGİ,2019,1118.65
105,TALİMHANE,2019,1118.65
106,TARCAN,2019,1118.65
107,ÜÇÜNCÜ YOL,2019,1118.65
108,ÜNAL,2019,1118.65
109,YAY MEYDANI,2019,1342.38
110,YAY MEYDANI,2019,8054.28
111,YAY MEYDANI,2019,1610.86
112,"1289 ADA, 11 PARSEL",2018,6600
113,2. ORTAKIR,2018,1000
114,ANADOL,2018,1000
115,ARI,2018,1000
116,ATEŞ BÖCEĞİ,2018,1000
117,AYÇİÇEĞİ,2018,1000
118,BADEM,2018,1000
119,BAKIR,2018,1000
120,BAŞAK 2,2018,1000
121,BAYIR,2018,3000
122,BEGONYA,2018,1000
123,BİRİNCİ YOL,2018,1000
124,BİRLİK,2018,1000
125,CAMİ,2018,1000
126,CANAN,2018,1000
127,CEVİZ,2018,1000
128,CİN DERESİ,2018,1800
129,CİN DERESİ,2018,7560
130,ÇEŞME,2018,1000
