,sokak,yil,rayic
0,AKKARGA,2020,6274.53
1,BABİL,2020,8963.61
2,BABİL,2020,11503.3
3,CEBEL TOPU,2020,11503.3
4,CUMHURİYET,2020,30924.45
5,ÇARIK,2020,5975.74
6,ÇİLİNGİR ÇIKMAZI,2020,8963.61
7,ÇİMEN,2020,8963.61
8,DOLAPDERE,2020,18674.18
9,DUVARDİBİ,2020,8963.61
10,ELMADAĞ,2020,20915.09
11,ELMADAĞ,2020,13071.93
12,ELMADAĞ,2020,15686.31
13,HARBİYE ÇAYIRI,2020,29579.9
14,HARBİYE ÇAYIRI,2020,8963.61
15,IRMAK,2020,13071.93
16,KÖSTEBEK,2020,7469.67
17,KUZUKULAĞI,2020,7469.67
18,KÜÇÜK BAYIR,2020,5975.74
19,MEKAN ÇIKMAZI,2020,9710.58
20,NİSPET,2020,30924.45
21,NİSPET,2020,14939.35
22,NİZAMİYE,2020,10457.54
23,PAPA RONCALLİ,2020,11951.48
24,SATIRCI,2020,9710.58
25,SAZLIDERE,2020,8963.61
26,TAKSİM DOLAPDERE,2020,7469.67
27,TURNA,2020,14939.35
28,ÜFTADE,2020,9710.58
29,ÜFTADE,2020,11204.51
30,YEDİ KUYULAR,2020,29579.9
31,YEDİ KUYULAR,2020,13146.62
32,YENİ NALBAHAR,2020,8739.51
33,YENİ NALBANT,2020,10457.54
34,AKKARGA,2019,5638
35,BABİL,2019,8054.28
36,BABİL,2019,10336.33
37,CEBEL TOPU,2019,10336.33
38,CUMHURİYET,2019,27787.27
39,ÇARIK,2019,5369.52
40,ÇİLİNGİR ÇIKMAZI,2019,8054.28
41,ÇİMEN,2019,8054.28
42,DOLAPDERE,2019,16779.75
43,DUVARDİBİ,2019,8054.28
44,ELMADAĞ,2019,18793.32
45,ELMADAĞ,2019,14094.99
46,ELMADAĞ,2019,11745.83
47,HARBİYE ÇAYIRI,2019,8054.28
48,HARBİYE ÇAYIRI,2019,26579.12
49,IRMAK,2019,11745.83
50,KÖSTEBEK,2019,6711.9
51,KUZUKULAĞI,2019,6711.9
52,KÜÇÜK BAYIR,2019,5369.52
53,MEKAN ÇIKMAZI,2019,8725.47
54,NİSPET,2019,27787.27
55,NİSPET,2019,13423.8
56,NİZAMİYE,2019,9396.66
57,PAPA RONCALLİ,2019,10739.04
58,SATIRCI,2019,8725.47
59,SAZLIDERE,2019,8054.28
60,TAKSİM DOLAPDERE,2019,6711.9
61,TURNA,2019,13423.8
62,ÜFTADE,2019,8725.47
63,ÜFTADE,2019,10067.85
64,YEDİ KUYULAR,2019,11812.94
65,YEDİ KUYULAR,2019,26579.12
66,YENİ NALBAHAR,2019,7852.92
67,YENİ NALBANT,2019,9396.66
68,AKKARGA,2018,5040
69,BABİL,2018,9240
70,BABİL,2018,7200
71,CEBEL TOPU,2018,9240
72,CUMHURİYET,2018,24840
73,ÇARIK,2018,4800
74,ÇİLİNGİR ÇIKMAZI,2018,7200
75,ÇİMEN,2018,7200
76,DOLAPDERE,2018,15000
77,DUVARDİBİ,2018,7200
78,ELMADAĞ,2018,10500
79,ELMADAĞ,2018,16800
80,ELMADAĞ,2018,12600
81,HARBİYE ÇAYIRI,2018,23760
82,HARBİYE ÇAYIRI,2018,7200
83,IRMAK,2018,10500
84,KÖSTEBEK,2018,6000
85,KUZUKULAĞI,2018,6000
86,KÜÇÜK BAYIR,2018,4800
87,MEKAN ÇIKMAZI,2018,7800
88,NİSPET,2018,24840
89,NİSPET,2018,12000
90,NİZAMİYE,2018,8400
91,PAPA RONCALLİ,2018,9600
92,SATIRCI,2018,7800
93,SAZLIDERE,2018,7200
94,TAKSİM DOLAPDERE,2018,6000
95,TURNA,2018,12000
96,ÜFTADE,2018,7800
97,ÜFTADE,2018,9000
98,YEDİ KUYULAR,2018,23760
99,YEDİ KUYULAR,2018,10560
100,YENİ NALBAHAR,2018,7020
101,YENİ NALBANT,2018,8400
102,AKKARGA,2017,4709.12
103,BABİL,2017,8633.39
104,BABİL,2017,6727.31
105,CEBEL TOPU,2017,8633.39
106,CUMHURİYET,2017,23209.23
107,ÇARIK,2017,4484.87
108,ÇİLİNGİR ÇIKMAZI,2017,6727.31
109,ÇİMEN,2017,6727.31
110,DOLAPDERE,2017,14015.24
111,DUVARDİBİ,2017,6727.31
112,ELMADAĞ,2017,9810.67
113,ELMADAĞ,2017,15697.06
114,ELMADAĞ,2017,11772.81
115,HARBİYE ÇAYIRI,2017,6727.31
116,HARBİYE ÇAYIRI,2017,22200.13
117,IRMAK,2017,9810.67
118,KÖSTEBEK,2017,5606.09
119,KUZUKULAĞI,2017,5606.09
120,KÜÇÜK BAYIR,2017,4484.87
121,MEKAN ÇIKMAZI,2017,7287.93
