,sokak,yil,rayic
0,ABİDE-İ HÜRRİYET,2020,29878.69
1,AÇELYA,2020,1244.95
2,AKGÜL,2020,29878.69
3,ARA,2020,1244.95
4,AVCI,2020,1244.95
5,AYAZMA YOLU,2020,1269.84
6,AYAZMA YOLU,2020,1244.95
7,AYDIN,2020,1244.95
8,BAŞAK,2020,1244.95
9,BUSE,2020,1244.95
10,CAMİ 2,2020,1244.95
11,ÇAM,2020,1244.95
12,ÇINAR 1,2020,1269.84
13,DENİZ,2020,1244.95
14,DENİZGÜLÜ,2020,1244.95
15,FIRIN ARKASI,2020,1269.84
16,FİLİZ,2020,1244.95
17,GÜL 3,2020,1244.95
18,GÜNEŞ 1,2020,1244.95
19,GÜRÜN,2020,1493.93
20,HUDUT,2020,1244.95
21,KAMELYA,2020,1244.95
22,KARDELEN,2020,1244.95
23,KOÇ,2020,1244.95
24,KUYU,2020,1244.95
25,LALE 1,2020,36900.19
26,LALE 1,2020,1867.42
27,MANDIRA,2020,1244.95
28,OKUL ARKASI,2020,1244.95
29,ORKİDE,2020,1244.95
30,OTLUK,2020,1244.95
31,ÖLÇEK,2020,1244.95
32,PIRLANTA,2020,1244.95
33,RAFET AYIK,2020,1244.95
34,RÜZGAR,2020,1244.95
35,SEÇKİN,2020,1244.95
36,SUSAM,2020,1244.95
37,ŞEN,2020,1244.95
38,TÜRKMEN SK.,2020,1244.95
39,TÜRKMEN,2020,1244.95
40,VEFA POYRAZ,2020,1269.84
41,YENİ YOL,2020,2838.47
42,YENİ YOL,2020,36900.19
43,YILDIZ,2020,1244.95
44,ABİDE-İ HÜRRİYET,2019,26847.6
45,AÇELYA,2019,1118.65
46,AKGÜL,2019,26847.6
47,ARA,2019,1118.65
48,AVCI,2019,1118.65
49,AYAZMA YOLU,2019,1118.65
50,AYAZMA YOLU,2019,1141.02
51,AYDIN,2019,1118.65
52,BAŞAK,2019,1118.65
53,BUSE,2019,1118.65
54,CAMİ 2,2019,1118.65
55,ÇAM,2019,1118.65
56,ÇINAR 1,2019,1141.02
57,DENİZ,2019,1118.65
58,DENİZGÜLÜ,2019,1118.65
59,FIRIN ARKASI,2019,1141.02
60,FİLİZ,2019,1118.65
61,GÜL 3,2019,1118.65
62,GÜNEŞ 1,2019,1118.65
63,GÜRÜN,2019,1342.38
64,HUDUT,2019,1118.65
65,KAMELYA,2019,1118.65
